,Country_x,code,GDP,C,E,P,S,X,elev,government_effectiveness,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements,percent_arable_land,prevalence_undernourishment,political_stability,rule_of_law,Country_y,voice_and_accountability
38,Cayman Islands,CYM,..,,,,,,,1.180053711,,,,0.833333333,..,1.04634726,0.58729589,Cayman Islands,0.473134667
39,Central African Republic,CAF,1702898940,29.1,24.2,28.7,18.7,9.9,635.7053,-1.848332644,439000,173000,940,2.889338342,55.1,-2.699193239,-1.695696592,Central African Republic,-1.391623259
40,Central Europe and the Baltics,CEB,1.46E+12,,,,,,,,,,,33.82146894,2.635163904,,,,
41,Chad,TCD,13922223234,27.4,24.8,28.9,19.4,8.2,543.3225,-1.495927334,71000,,9900,3.891359593,35.3,-1.568882704,-1.138648629,Chad,-1.331053138
42,Channel Islands,CHI,..,,,,,,,,,,,21.73684211,..,,,,
43,Chile,CHL,2.61E+11,8.3,12.2,11.2,7.2,3.1,1871.129,1.161331534,,,985000,1.733886369,3.8,0.447516918,1.43313992,Chile,1.05591476
44,China,CHN,1.05E+13,22,16.4,23.5,13.6,3.5,1839.95,0.322888315,,,3612000,11.25880106,9.9,-0.522584021,-0.414477408,China,-1.616668105
45,Colombia,COL,3.78E+11,22.4,18.9,20.8,14.2,6.8,593.12,-0.100556344,6044000,137000,20000,1.557638576,7.7,-1.114594102,-0.291901916,Colombia,-0.043316167
46,Comoros,COM,647720707.1,20.3,22.5,22.2,12.1,8,,-1.674040437,,,12000,34.92745836,..,-0.186910167,-0.891699731,Comoros,-0.29174611
47,"Congo, Dem. Rep.",COD,34028119333,28.5,23.9,28.7,19.3,9.8,,-1.561380267,2757000,1003000,24000,3.131823295,..,-2.167921305,-1.451048017,"Congo, Dem. Rep.",-1.286677957
48,"Congo, Rep.",COG,14177437982,19.4,21.3,24.8,16.2,7.9,430.1534,-1.110310197,7800,,,1.610541728,27.1,-0.359291583,-1.108604074,"Congo, Rep.",-1.108313203
49,Costa Rica,CRI,50656002896,11,13.6,10.3,9,4.6,746.2103,0.396597505,,,,4.545632589,5.7,0.577418208,0.560501158,Costa Rica,1.138346195
50,Cote d'Ivoire,CIV,35372603446,27.2,22,26.2,16.9,9.4,250.7441,-0.833844006,301000,5500,4500,9.119496855,15.1,-1.037160635,-0.591415823,Cote d'Ivoire,-0.50768739
51,Croatia,HRV,57080369368,14.5,13.7,11.3,8.7,4.7,331.5601,0.692963302,,,18000,14.53180843,2.5,0.619112372,0.319685102,Croatia,0.514940262
52,Cuba,CUB,80656100000,18,16.7,18.7,10.9,6.5,108.2346,-0.046784941,,,,29.68659873,2.5,0.544822037,-0.657768965,Cuba,-1.544797778
53,Curacao,CUW,..,,,,,,,,,,,..,..,,,,
54,Cyprus,CYP,23359294149,19.9,17.9,12.5,8.5,9.1,9.1667,1.140383601,212000,,,8.636363636,4.8,0.551882088,1.077018499,Cyprus,1.019970298
55,Czech Republic,CZE,2.08E+11,10.4,11.4,10,4.7,2.9,433.0312,1.017592907,,,,40.70716228,2.5,0.989990473,1.15218091,Czech Republic,1.026667476
56,Denmark,DNK,3.53E+11,6.6,6,4.1,4.2,1.9,34.2589,1.819007277,,,,57.91855204,2.5,0.951779723,2.096355438,Denmark,1.524577379
57,Djibouti,DJI,1588000000,20.9,20.2,22.5,15.5,8,430.256,-0.974384606,,,,0.086281277,14.7,-0.77023226,-0.8739326,Djibouti,-1.430809975
58,Dominica,DMA,523666347.4,,,,,,,0.076308608,,,,8,6,1.05717814,0.492903143,Dominica,1.06705606
59,Dominican Republic,DOM,65231032303,17.5,20,18,12.1,5.8,424.8582,-0.435269862,,,11000,16.55971848,13.7,0.145934492,-0.405669421,Dominican Republic,0.188960612
60,Early-demographic dividend,EAR,1.05E+13,,,,,,,,,,,13.05784175,13.21477904,,,,
61,East Asia & Pacific,EAS,2.19E+13,,,,,,,,,,,9.535870429,9.465963162,,,,
62,East Asia & Pacific (excluding high income),EAP,1.28E+13,,,,,,,,,,,11.22884659,10.24661586,,,,
63,East Asia & Pacific (IDA & IBRD countries),TEA,1.27E+13,,,,,,,,,,,11.16534789,9.858235911,,,,
64,Ecuador,ECU,1.02E+11,22.1,19.2,18.5,11.6,5.9,1117.178,-0.472943544,,,570,4.097680786,11.9,-0.018533209,-1.058417678,Ecuador,-0.202465162
65,"Egypt, Arab Rep.",EGY,3.06E+11,25.9,19.8,24.4,13.5,7.4,321.5979,-0.822677433,,,200,2.682204028,4.4,-1.631176591,-0.662516296,"Egypt, Arab Rep.",-1.18059957
