"","X.1","Country","code","GDP","C","E","P","S","X","elev","government_effectiveness","Conflict.Stock.Displacement","Conflict.New.Displacements","Disaster.New.Displacements","percent_arable_land","prevalence_undernourishment","political_stability","rule_of_law","voice_and_accountability","fsi","control_corruption"
"30",51,"Cote d'Ivoire","CIV",372603446,27.2,22,26.2,16.9,9.4,250.7441,0.833844006,301000,5500,4500,119496855,0.1,-1.037160635,0.591415823,0.50768739,101.7,"-0.419152915"
"31",52,"Croatia","HRV",80369368,14.5,13.7,11.3,8.7,4.7,331.5601,692963302,675950.357142857,375420.689655172,18000,0.53180843,5,0.619112372,319685102,514940262,52.9,"0.219041422"
"32",53,"Cuba","CUB",656100000,18,16.7,18.7,10.9,6.5,108.2346,0.046784941,675950.357142857,375420.689655172,193045.151515152,0.68659873,5,0.544822037,0.657768965,0.544797778,70.8,"0.068400934"
"33",55,"Cyprus","CYP",359294149,19.9,17.9,12.5,8.5,9.1,9.1667,140383601,212000,375420.689655172,193045.151515152,636363636,8,0.551882088,77018499,19970298,67.9,"1.075781465"
"34",56,"Czech Republic","CZE",8e+11,10.4,11.4,10,4.7,2.9,433.0312,17592907,675950.357142857,375420.689655172,193045.151515152,0.70716228,5,0.989990473,15218091,26667476,39.4,"0.36779505"
"35",57,"Denmark","DNK",5.3e+12,6.6,6,4.1,4.2,1.9,34.2589,819007277,675950.357142857,375420.689655172,193045.151515152,0.91855204,5,0.951779723,96355438,524577379,22.8,"2.247260332"
"36",58,"Djibouti","DJI",8.8e+07,20.9,20.2,22.5,15.5,8,430.256,0.974384606,675950.357142857,375420.689655172,193045.151515152,86281277,0.7,-0.77023226,0.8739326,0.430809975,87.1,"-0.599377871"
"37",60,"Dominican Republic","DOM",231032303,17.5,20,18,12.1,5.8,424.8582,0.435269862,675950.357142857,375420.689655172,11000,0.55971848,0.7,0.145934492,0.405669421,188960612,73.4,"-0.816102564"
"38",65,"Ecuador","ECU",2e+11,22.1,19.2,18.5,11.6,5.9,1117.178,0.472943544,675950.357142857,375420.689655172,570,97680786,0.9,-0.018533209,0.058417678,0.202465162,77.3,"-0.754930556"
"39",66,"Egypt, Arab Rep.","EGY",6e+11,25.9,19.8,24.4,13.5,7.4,321.5979,0.822677433,675950.357142857,375420.689655172,200,682204028,4,-1.631176591,0.662516296,0.18059957,91,"-0.624814928"
"40",67,"El Salvador","SLV",54230000,16.4,19.7,17.8,12.7,5.4,442.0164,0.032733403,675950.357142857,191000,22,0.1969112,0.1,-0.024590004,0.476327419,152603105,72,"-0.376873732"
"41",70,"Estonia","EST",224622451,14.5,11.6,9.3,6.8,3,61.9125,16679525,675950.357142857,375420.689655172,193045.151515152,0.28898325,7,0.780257881,372891307,17031002,45.2,"1.303455591"
"42",71,"Ethiopia","ETH",612228234,25.7,21.4,24,18.4,8.4,1330.062,0.42448172,397000,137000,49000,0.119,0.5,-1.339387417,0.471563309,0.284353971,97.9,"-0.444255531"
"43",79,"Finland","FIN",7.3e+12,3.7,7,3.4,3.3,1.3,164.483,998275638,675950.357142857,375420.689655172,193045.151515152,34081411,5,1.282197237,100273371,541917205,18.7,"2.165774584"
"44",81,"France","FRA",8.5e+13,10.9,10.7,6.1,5.5,1.6,375.12,403170347,675950.357142857,375420.689655172,4100,0.4816284,5,0.300568491,474639177,218159556,34.8,"1.314697027"
"45",83,"Gabon","GAB",179717776,15.8,17.6,21.4,12.2,5.2,377.5402,0.644165218,675950.357142857,375420.689655172,193045.151515152,261303217,7,0.149542809,0.508886874,0.865721822,72.2,"-0.691624343"
"46",84,"Gambia, The","GMB",3240810.2,15.7,22,23.6,14.6,7.2,34.4685,0.669894457,675950.357142857,375420.689655172,193045.151515152,0.47826087,0.5,-0.151400715,0.689125657,0.267748713,83.1,"-0.693829834"
"47",85,"Georgia","GEO",509305828,25.1,18,19.9,12.1,7.6,1432.375,489187151,233000,375420.689655172,120,576485825,7,-0.321507543,190929726,284665972,82.7,"0.785900772"
"48",86,"Germany","DEU",8.9e+13,8.7,8.9,5.2,6.2,1.6,270.8496,731391549,675950.357142857,375420.689655172,193045.151515152,0.02407567,5,0.925186455,856834173,436330318,30.6,"1.838379741"
"49",87,"Ghana","GHA",616536132,14,20.1,17.6,12.7,6.3,190.3197,0.280857623,675950.357142857,375420.689655172,193045.151515152,0.65570889,8,-0.106807962,52244995,463251561,70.7,"-0.192189008"
"50",89,"Greece","GRC",3.7e+12,12.8,14.6,13.7,5.4,5.6,498.576,398586392,675950.357142857,375420.689655172,8200,0.25368503,5,-0.140445963,36259988,618757248,52.1,"-0.122388072"
"51",93,"Guatemala","GTM",722323918,20.3,20.8,20.3,13.2,5.7,759.6279,0.728890419,249000,1400,10000,714072415,0.2,-0.655563533,0.96223402,0.337599128,80.3,"-0.735963881"
"52",94,"Guinea","GIN",91353805,27.2,24.3,27.6,16.3,7.3,472.8062,0.232363105,675950.357142857,375420.689655172,193045.151515152,0.61598567,0.7,-0.955242753,0.360495448,0.858070731,102.7,"-1.057489276"
"53",95,"Guinea-Bissau","GNB",55186196,24.2,24.8,25.9,16.6,9.1,70.4717,0.583007336,675950.357142857,375420.689655172,193045.151515152,0.6685633,0.8,-0.706451654,0.325205922,0.850447953,100.6,"-1.538464069"
"54",96,"Guyana","GUY",77643314,16.8,22,16,10,6.2,207.0553,0.232317001,675950.357142857,375420.689655172,193045.151515152,133604267,9,-0.136097595,0.616555035,156029701,71,"-0.741510391"
"55",97,"Haiti","HTI",76360623,23.6,27.8,25.9,17.2,9.8,470.0736,0.041475058,675950.357142857,375420.689655172,6500,0.82438316,0.2,-0.643627286,0.185460091,0.791107893,104.3,"-1.233899713"
"56",100,"Honduras","HND",756494435,19.5,20.7,19.7,10.9,7.1,684.9241,0.809989631,29000,375420.689655172,2500,116096166,0.8,-0.534083962,0.944581866,0.409190774,77.9,"-0.785444319"
"57",102,"Hungary","HUN",4e+12,11.9,13.8,13.3,5.6,3.7,143.5822,533443689,675950.357142857,375420.689655172,290,0.6468574,5,0.669904828,501931071,553266287,48.3,"0.164560184"
"58",104,"Iceland","ISL",178962757,4.1,8.9,4.5,3.5,4.9,557.4451,491399884,675950.357142857,375420.689655172,193045.151515152,208977556,5,1.246974587,708532214,357325196,25.9,"1.827839136"
"59",109,"India","IND",4e+12,22.5,18.7,17.9,12.8,5,621.8081,0.205647334,854000,345000,3428000,0.62462204,0.9,-0.99791199,0.063245445,413294047,76.9,"-0.428023726"
"60",110,"Indonesia","IDN",9.1e+12,21.1,18.1,18.7,13.3,5.6,367.1235,0.037205037,84000,800,943000,0.97217331,7,-0.416824043,0.342180669,1539049,76.8,"-0.561766207"
"61",111,"Iran, Islamic Rep.","IRN",3.4e+12,26.5,18.7,22.8,12.1,7.1,1305.438,0.426920831,675950.357142857,375420.689655172,12000,17289226,4,-0.874987662,0.056347728,0.58074379,87.2,"-0.6192047"
"62",112,"Iraq","IRQ",3.5e+12,29.6,23.1,25.1,16.5,7.9,312.0478,0.111156821,3276000,2177000,193045.151515152,0.59053233,0.7,-2.480337858,0.334787846,0.144258142,102.2,"-1.333758235"
"63",113,"Ireland","IRL",5.8e+12,5,10,5.2,3.9,2,112.422,597104549,675950.357142857,375420.689655172,193045.151515152,0.35781681,5,1.052991152,779152513,317501187,26.1,"1.604880452"
"64",115,"Israel","ISR",8e+11,24.6,14.7,19.3,13.4,7.5,508.4611,210811973,675950.357142857,375420.689655172,700,0.88632163,5,-1.039735317,107662916,727578998,79.5,"0.865709782"
"65",116,"Italy","ITA",1.5e+13,14.2,10.7,9.6,7,1.9,538.7296,374144018,675950.357142857,375420.689655172,1600,0.87346162,5,0.458165407,37739116,999262631,43.4,"-0.029641563"
"66",117,"Jamaica","JAM",897723431,13.7,20.1,16.3,8.8,6,18.125,137448892,675950.357142857,375420.689655172,193045.151515152,0.08033241,2,0.024492532,0.282042772,562572896,64.9,"-0.299021482"
"67",118,"Japan","JPN",8.5e+13,8.6,8,7.7,8.1,3.9,438.3172,812485337,675950.357142857,375420.689655172,707000,0.58382708,5,0.968597353,601541996,36089063,36.3,"1.694594502"
"68",119,"Jordan","JOR",826925775,19.8,16.7,18.7,15,6.5,812.3271,116841048,675950.357142857,375420.689655172,193045.151515152,675152061,2,-0.540025532,464213163,0.753645599,76.7,"0.135680109"
"69",120,"Kazakhstan","KAZ",2.1e+12,20.1,14.8,19.7,8.9,5,387.1949,0.042686917,675950.357142857,375420.689655172,193045.151515152,0.88824684,5,0.036018156,0.598051727,0.183920979,68.5,"-0.830442965"
"70",121,"Kenya","KEN",445345999,26.8,23.7,23.4,16.9,8.2,762.8491,0.333343953,309000,220000,1400,0.19081421,0.4,-1.282247186,0.4168576,0.145232216,99,"-0.933301449"
"71",124,"Korea, Rep.","KOR",4.1e+13,9.1,9.1,7.8,4.7,5.7,282.3633,164745569,675950.357142857,375420.689655172,193045.151515152,0.1415675,5,0.108568802,993528128,680225968,36.4,"0.547560692"
"72",126,"Kuwait","KWT",6.3e+12,17.1,11.7,17,9.1,4.1,108.2327,0.148398995,675950.357142857,375420.689655172,193045.151515152,533108866,5,0.149006546,22490578,0.657459795,59,"-0.240322918"
"73",127,"Kyrgyz Republic","KGZ",68096567,23.3,20.1,21.4,11.5,7.6,2988.048,0.865409195,675950.357142857,375420.689655172,193045.151515152,676746611,7,-0.804615676,0.926912189,0.462497383,83.9,"-1.127943873"
"74",133,"Latvia","LVA",419072948,13.4,13,11.2,6.9,3.5,95.893,958550274,675950.357142857,375420.689655172,193045.151515152,0.44355098,5,0.487268358,872382939,849434912,48,"0.415365428"
"75",135,"Lebanon","LBN",833413749,26.8,17.3,19.8,14.6,8.4,1249.193,0.37551415,20000,375420.689655172,1300,0.90322581,3,-1.697941303,0.766248524,0.420307428,86.9,"-1.037225246"
"76",136,"Lesotho","LSO",14566292,16.6,22.3,19,13.2,7.5,2160.854,0.555181265,675950.357142857,375420.689655172,2600,969038208,0.4,-0.332812041,0.20982334,161970541,78.6,"0.190519944"
"77",137,"Liberia","LBR",1.3e+07,21.6,22.9,22.5,17.6,9.7,243.6676,0.343055606,23000,375420.689655172,650,1910299,0.2,-0.615449607,0.80579406,0.275833428,94.3,"-0.771458089"
"78",140,"Lithuania","LTU",545251796,9.7,14.1,9.9,6.5,3,110.2539,982653379,675950.357142857,375420.689655172,193045.151515152,0.5131684,5,0.742136419,939177334,961591065,43.2,"0.558858037"
"79",144,"Luxembourg","LUX",327344189,8.5,6,4.5,3.7,1.9,325.02,65443325,675950.357142857,375420.689655172,193045.151515152,0.17374517,5,1.378323793,906487703,554682136,24.6,"2.073182344"
"80",146,"Macedonia, FYR","MKD",362272838,20,17.6,14.1,8.8,5.9,741.545,131663471,220,375420.689655172,193045.151515152,0.41554322,3,0.256382942,0.052508973,0.14148204,66.4,"-0.022042822"
"81",148,"Malawi","MWI",54750320,18.5,24.8,22.2,15.2,8.4,779.0389,0.628111243,675950.357142857,375420.689655172,600,0.30547306,0.5,0.081093207,0.286365271,0.064298145,89.1,"-0.751134217"
"82",149,"Malaysia","MYS",3.8e+12,19.7,14.3,18.1,10,4.1,419.6467,115127206,675950.357142857,375420.689655172,256000,90366763,6,0.266619146,588295519,0.360303104,66.2,"0.41115877"
"83",151,"Mali","MLI",388360064,20.4,23.1,21.3,16.5,8.5,343.7438,0.099087954,62000,19000,193045.151515152,254099771,9,-1.713988781,0.644296169,0.161402777,89.8,"-0.745391548"
"84",154,"Mauritania","MRT",91475277,23.4,20.5,23.7,17.2,8.2,276.0194,0.991504014,675950.357142857,375420.689655172,193045.151515152,436596488,7,-0.589508355,0.860369444,0.895422757,93,"-0.927549541"
"85",156,"Mexico","MEX",3e+13,18.8,17.4,18.1,11,5.8,1110.936,19623448,281000,9000,18000,0.82802541,4,-0.853918791,0.422825068,316119,71.1,"-0.761708796"
"86",162,"Moldova","MDA",83271111,20.9,18.8,17.7,10.3,7.4,139.3979,0.418404162,675950.357142857,375420.689655172,193045.151515152,0.27836933,1,-0.158987761,0.247836754,11545338,75.1,"-0.850617647"
"87",164,"Mongolia","MNG",226514722,13.8,13.9,15.9,8.3,6.2,1527.99,0.43550086,675950.357142857,375420.689655172,193045.151515152,365096939,0.3,0.791901171,0.344739795,241444647,58.1,"-0.473792255"
"88",166,"Morocco","MAR",1e+12,19.4,19.5,19,11.3,5.2,909.5137,0.074534334,675950.357142857,375420.689655172,1700,0.21644634,1,-0.446265608,0.065144658,0.686271131,74.4,"-0.265681654"
"89",167,"Mozambique","MOZ",961127046,18.6,23.8,22.6,13.8,7.1,345.2476,0.722668052,675950.357142857,375420.689655172,21000,184821588,0.8,-0.336002737,0.810333848,0.24599041,85.9,"-0.672268331"
"90",168,"Myanmar","MMR",446402659,25.9,20.4,25.6,15.5,6.9,702.4269,0.279349566,645000,6200,81000,0.52018129,0.4,-1.087580681,0.185658813,0.343992472,94.3,"-0.882173955"
"91",169,"Namibia","NAM",786078004,13.7,22,15.7,12.9,7.2,1141.045,113697007,675950.357142857,375420.689655172,160,971711062,0.7,0.608740628,14784117,55330056,71.5,"0.288529754"
"92",171,"Nepal","NPL",2968838,24.6,21.1,22.6,15.4,7.3,2565.382,0.851541281,50000,375420.689655172,74000,0.74502965,2,-0.72459954,0.649577558,0.430457085,91,"-0.588242352"
"93",172,"Netherlands","NLD",8e+12,8.8,8.5,4,5.7,1.6,30.1257,817106485,675950.357142857,375420.689655172,193045.151515152,0.01810626,5,1.045115352,980402589,547281384,28.6,"1.990493894"
"94",174,"New Zealand","NZL",1e+11,6.3,9.2,3.7,3.6,1.3,388.3524,932062387,675950.357142857,375420.689655172,193045.151515152,240704873,5,1.467927575,8776665,524383783,24.1,"2.253288746"
"95",175,"Nicaragua","NIC",880438824,18.3,21.9,19.6,11,7.6,298.3099,0.837903082,675950.357142857,375420.689655172,35000,0.49792255,0.1,-0.040780123,0.712243497,0.395727456,78.4,"-0.885312438"
"96",177,"Nigeria","NGA",6.8e+12,28.8,23.2,26.5,15.2,6,380.1505,0.186016917,1075000,975000,3000,0.33104955,3,-2.130276442,0.049235106,0.586755931,99.7,"-1.274704933"
"97",180,"Norway","NOR",9.9e+12,7.6,5.6,3.8,4.5,1.5,566.7679,828457475,675950.357142857,375420.689655172,680,208106887,5,1.11995852,29048204,684087038,23,"2.226565599"
"98",183,"Oman","OMN",34395059,14.3,10.8,17.9,7.6,2.5,310.0209,265802741,675950.357142857,375420.689655172,193045.151515152,122778675,7,0.734907329,485807508,0.090710998,53.1,"0.310047656"
"99",186,"Pakistan","PAK",4.4e+12,29.4,22,24.7,17.6,9.3,1018.028,0.755000889,1900000,907000,771000,0.48733914,0.7,-2.401279211,0.760338485,0.716023862,103,"-0.833833992"
"100",188,"Panama","PAN",165773100,12.6,15.5,14.5,9.6,3.5,359.6746,262119085,675950.357142857,375420.689655172,320,573311811,5,0.209008202,0.059524875,505627871,55.7,"-0.339630365"
