"","X.1","Country","code","GDP","C","E","P","S","X","elev","government_effectiveness","Conflict.Stock.Displacement","Conflict.New.Displacements","Disaster.New.Displacements","percent_arable_land","prevalence_undernourishment","political_stability","rule_of_law","voice_and_accountability","fsi","control_corruption"
"131",250,"United Arab Emirates","ARE",3e+11,10.7,10.6,16.4,6.7,3.2,148.9142,435521245,675950.357142857,375420.689655172,193045.151515152,448564593,4,0.768908918,652227223,0.061368585,47.6,"1.203577995"
"132",251,"United Kingdom","GBR",2e+12,11.6,9.5,6.2,5.5,1.5,162.5733,626729727,675950.357142857,375420.689655172,620,0.76571736,5,0.415347636,889571428,275789618,34.3,"1.738477588"
"133",252,"United States","USA",7.4e+14,11.2,8.8,8.4,5.7,1.3,725.6519,467586279,675950.357142857,375420.689655172,34000,0.86437269,5,0.582419634,610473037,7122314,35.4,"1.376067758"
"134",254,"Uruguay","URY",236013078,8.8,12.4,7.5,6,3.2,109.6395,482786238,675950.357142857,375420.689655172,4900,0.77328305,5,0.991879582,710575342,107863307,37.9,"1.378792644"
"135",255,"Uzbekistan","UZB",67077179,23.8,21,24,12.1,5.4,420.015,0.628321826,3400,375420.689655172,193045.151515152,0.34320639,5,-0.273108631,0.129661798,0.913251996,86.3,"-1.185223818"
"136",257,"Venezuela, RB","VEN",8.2e+12,20.7,17.9,23,10.5,4.6,448.6651,0.226763487,675950.357142857,375420.689655172,193045.151515152,61050961,1,-0.852002203,0.916324377,0.083764911,76.7,"-1.399562478"
"137",258,"Vietnam","VNM",8.6e+12,18,17,21.1,11.2,5.4,398.3443,0.070451654,675950.357142857,375420.689655172,68000,0.67113878,0.2,-0.022347357,0.359818399,0.374714971,72.7,"-0.436201066"
"138",262,"Yemen, Rep.","YEM",228583935,28.2,24.2,26.4,18.1,8.5,999.8261,0.410873294,334000,1e+05,193045.151515152,363770669,0.2,-2.665575027,0.200264573,0.301007152,105.4,"-1.555117607"
"139",263,"Zambia","ZMB",150630607,16.4,24,22.4,16.5,6.9,1138.441,0.499574661,675950.357142857,375420.689655172,26000,111717941,0.6,0.156212017,0.23654902,0.109600693,86.2,"-0.342242748"
"140",264,"Zimbabwe","ZWE",891049236,26.2,24.9,26.7,17.3,7.7,961.7211,0.210597754,675950.357142857,375420.689655172,23000,0.33992504,0.3,-0.713570178,0.431254029,0.256963611,102.8,"-1.391290665"
