country_name,country_code,rule_of_law
Thailand,THA,-0.147704467
Timor-Leste,TLS,-1.121528983
Togo,TGO,-0.798984945
Tonga,TON,-0.200851694
Trinidad and Tobago,TTO,-0.115995876
Tunisia,TUN,-0.061554465
Turkey,TUR,-0.113019049
Turkmenistan,TKM,-1.417839885
Tuvalu,TUV,0.357040435
Uganda,UGA,-0.385777652
Ukraine,UKR,-0.81355083
United Arab Emirates,ARE,0.640877128
United Kingdom,GBR,1.813076496
United States,USA,1.59612298
Uruguay,URY,0.712427437
Uzbekistan,UZB,-1.111207604
Vanuatu,VUT,0.104127094
"Venezuela, RB",VEN,-2.032376289
Vietnam,VNM,-0.339344263
Virgin Islands (U.S.),VIR,0.883752644
West Bank and Gaza,PSE,-0.505850732
"Yemen, Rep.",YEM,-1.271081805
Zambia,ZMB,-0.22972478
Zimbabwe,ZWE,-1.316628456
