country_name,country_code,political_stability
Timor-Leste,TLS,-0.271886349
Togo,TGO,-0.231348053
Tonga,TON,0.88633436
Trinidad and Tobago,TTO,0.286114305
Tunisia,TUN,-0.96038723
Turkey,TUR,-1.493914008
Turkmenistan,TKM,-0.087798864
Tuvalu,TUV,1.39128828
Uganda,UGA,-0.804501653
Ukraine,UKR,-1.961800098
United Arab Emirates,ARE,0.759545386
United Kingdom,GBR,0.517747939
United States,USA,0.678062379
Uruguay,URY,1.004238248
Uzbekistan,UZB,-0.373036414
Vanuatu,VUT,0.478408933
"Venezuela, RB",VEN,-0.977180898
Vietnam,VNM,0.069970489
Virgin Islands (U.S.),VIR,1.249272108
West Bank and Gaza,PSE,-2.160502195
"Yemen, Rep.",YEM,-2.680221558
Zambia,ZMB,0.151694864
Zimbabwe,ZWE,-0.618156314
