country_name,country_code,voice_and_accountability
Togo,TGO,-0.698528349
Tonga,TON,0.661607802
Trinidad and Tobago,TTO,0.480495065
Tunisia,TUN,0.242010027
Turkey,TUR,-0.36770758
Turkmenistan,TKM,-2.23740983
Tuvalu,TUV,1.068523526
Uganda,UGA,-0.57071203
Ukraine,UKR,-0.086803623
United Arab Emirates,ARE,-1.112367868
United Kingdom,GBR,1.297748923
United States,USA,1.109744549
Uruguay,URY,1.143324971
Uzbekistan,UZB,-1.956031203
Vanuatu,VUT,0.592932522
"Venezuela, RB",VEN,-1.091030121
Vietnam,VNM,-1.358792901
Virgin Islands (U.S.),VIR,..
West Bank and Gaza,PSE,-0.98578614
"Yemen, Rep.",YEM,-1.523371577
Zambia,ZMB,-0.070258692
Zimbabwe,ZWE,-1.167998791
