,Country,score,C,E,P,S,X,code,elev,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements,percent_arable_land,prevalence_undernourishment,control_of_corruption,government_effectiveness,political_stability,rule_of_law,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,voice_and_accountability
34,Guinea Bissau,,24.1,25.6,25.4,16,8.8,Unknown code,,,,,,,,,,,,,,,,,,,,,,,,
35,Congo Republic,,20,21.4,25.7,16.1,7.6,Unknown code,,,,,,,,,,,,,,,,,,,,,,,,
36,Iran,,25.9,19.2,23.2,11.9,7,Unknown code,,,,,,,,,,,,,,,,,,,,,,,,
37,Laos,,20.6,19.8,24.8,12.7,6.6,Unknown code,,,,,,,,,,,,,,,,,,,,,,,,
38,Russia,,26.5,15.3,21.5,10.8,5.9,Unknown code,,,,,,,,,,,,,,,,,,,,,,,,
39,Israel and West Bank,,24.8,14.6,19,13.4,7.6,Unknown code,,,,,,,,,,,,,,,,,,,,,,,,
40,Venezuela,,21.9,18.4,24.1,9.9,4.3,Unknown code,,,,,,,,,,,,,,,,,,,,,,,,
41,Cape Verde,,15.2,22.3,16.7,11.2,8.1,Unknown code,,,,,,,,,,,,,,,,,,,,,,,,
42,Micronesia,,14.7,25.5,14.8,10.3,8.3,Unknown code,,,,,,,,,,,,,,,,,,,,,,,,
43,Macedonia,,19.4,16.8,13.8,8.6,5.9,Unknown code,,,,,,,,,,,,,,,,,,,,,,,,
44,Czech Republic,,10.7,10.8,9.4,3.9,2.6,Unknown code,,,,,,40.61124061,,,,,,,,,,,,,,,,,,
45,South Korea,,9.3,9,8.3,4.3,5.4,Unknown code,,,,,,,,,,,,,,,,,,,,,,,,
46,Botswana,23.1,12.2,19.1,14.2,12.7,4.6,BWA,1013.629,,,250,0.70403896,0.70403896,0.849635243,0.497423857,1.042091846,0.595487714,26.31,25.42,24.3,21.42,17.6,14.29,14.21,17.16,21.36,24.28,25.5,25.89,21.48,0.436190367
47,Brazil,5,16.7,15.7,16.8,10.7,2.7,BRA,319.2997,,,59000,9.573541482,9.573541482,-0.396478355,-0.183996126,-0.331458092,-0.147071302,25.58,25.65,25.49,25.05,24.19,23.29,23.24,24.23,25.13,25.73,25.74,25.66,24.92,0.458814234
48,Bulgaria,8.5,14.6,15.7,12.6,7.7,4.8,BGR,421.2224,,,820,32.32958732,32.32958732,-0.264636964,0.208816484,0.017322188,-0.097000144,-1.18,0.87,4.7,9.92,14.99,18.64,20.85,20.49,16.85,11.48,5.95,1.21,10.4,0.432537317
49,Burkina Faso,31.8,20.2,22.1,23.2,16.2,7.5,BFA,297.8957,,,3700,21.92982456,21.92982456,-0.283615232,-0.586617649,-0.611107409,-0.527029812,25,27.84,30.63,32.05,31.47,29.23,27.11,26.36,26.97,28.71,27.47,25.25,28.18,-0.112959318
50,Burundi,,23.6,23,24.9,18.2,8.4,BDI,1504.207,99000,23000,3100,46.72897196,46.72897196,-1.242423058,-1.159004688,-1.939510822,-1.166668534,20.24,20.39,20.43,20.37,20.05,19.37,19.36,20.44,21.16,20.98,20.24,20.17,20.27,-1.288651705
51,Cambodia,22.6,22.3,21,24.4,12.8,7.4,KHM,126.4433,,,8900,21.52730569,21.52730569,-1.117967606,-0.699413061,0.061942287,-0.978473485,24.87,26.53,27.93,28.94,28.49,27.73,27.35,27.27,26.96,26.6,25.82,24.8,26.94,-1.122556925
52,Cameroon,24.2,24.8,21.5,25.2,15.8,7,CMR,667.4828,124000,71000,11000,13.11586385,13.11586385,-1.074333429,-0.773310483,-0.989607453,-0.975390732,23.88,25.36,26.27,26.43,25.52,24.34,23.37,23.29,23.73,24.28,24.25,23.61,24.53,-0.954875112
53,Central African Republic,46.9,29.4,24.9,29.4,18.4,9.8,CAF,635.7053,452000,210000,1100,2.889338342,2.889338342,-1.308037281,-1.784717083,-1.904764652,-1.684809923,24.28,26.01,26.96,26.76,25.88,24.65,23.77,23.71,23.84,24.31,24.25,23.65,24.84,-1.225461721
54,Chad,46.4,26.5,25.5,28.4,19.7,8.3,TCD,543.3225,107000,36000,,3.891359593,3.891359593,-1.363942981,-1.461070895,-0.974552572,-1.183280706,20.66,23.1,26.55,29.55,31.03,30.75,29.26,28.21,28.36,27.23,23.8,21.29,26.65,-1.335111856
55,Chile,5,8.9,11.9,10.9,7.2,2.6,CHL,1871.129,,,1047000,1.765895752,1.765895752,1.27995646,1.086323857,0.433439225,1.344096303,12.68,12.2,10.87,8.62,6.29,4.4,4.04,4.84,6.32,8.22,10.12,11.85,8.37,1.004418135
56,China,8.6,21.4,15.4,23.4,13,3.2,CHN,1839.95,,,3602000,12.6754714,12.6754714,-0.282098532,0.408017337,-0.550294638,-0.409794658,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,-1.660686493
57,Colombia,8.8,22.9,18,20.4,14.7,6.5,COL,593.12,6270000,224000,4600,1.521946823,1.521946823,-0.29816556,-0.036017831,-1.069146633,-0.268413424,24.62,24.98,25.14,24.75,24.35,23.89,23.79,24.04,24.21,24.29,24.38,24.39,24.4,0.003917276
58,Comoros,,19.7,22.8,20.9,12.1,7.8,COM,,,,,34.92745836,34.92745836,-0.719098568,-1.5220474,-0.232791469,-0.815206766,25.09,25.11,25.2,24.98,23.96,22.5,21.97,22.18,22.8,23.91,24.9,25.24,23.99,-0.291163325
59,Costa Rica,5,11.6,13.3,9.5,8,4.3,CRI,746.2103,,,1100,4.543674109,4.543674109,0.748421431,0.37576279,0.682025492,0.504753351,23.17,23.67,24.62,25.04,24.6,23.99,24.05,23.85,23.68,23.43,23.06,23.04,23.85,1.151499629
60,Croatia,5,14.1,13.6,10.4,8.5,4.4,HRV,331.5601,,,1000,15.08398856,15.08398856,0.245227292,0.51401335,0.590728045,0.200360253,-0.16,2.09,5.83,10.25,14.76,17.99,20.04,19.67,16.36,11.35,5.96,1.53,10.47,0.55546391
61,Cuba,5,17.2,16.1,19,10.1,5,CUB,108.2346,,,2000,28.97231302,28.97231302,0.070488244,0.02187958,0.644101679,-0.701458991,22.21,22.39,23.75,24.79,26.06,26.91,27.44,27.43,26.98,26.06,24.5,23.05,25.13,-1.558034897
62,Djibouti,33.2,20.8,21,22.6,15.3,8.4,DJI,430.256,,,,0.086281277,0.086281277,-0.657611907,-0.954309046,-0.443531573,-0.922180951,23.31,24.14,25.75,27.37,29.2,31.39,32.38,31.83,30.09,27.4,25.18,23.67,27.64,-1.412069201
63,Dominican Republic,10.8,17.2,19.2,18.3,10.6,5.9,DOM,424.8582,,,28000,16.55971848,16.55971848,-0.818429589,-0.357235849,0.236706421,-0.512686312,21.76,22.1,22.88,23.81,24.38,25.01,25.21,25.64,25.35,24.73,23.75,22.52,23.93,0.154249504
64,Ecuador,14,22.7,18.3,18.4,10.9,5.6,ECU,1117.178,,,1900,4.297793526,4.297793526,-0.67123884,-0.442261696,-0.143955871,-1.028905153,21.71,21.78,21.93,21.96,21.54,20.87,20.41,20.71,20.97,21.26,21.3,21.5,21.33,-0.211751625
65,El Salvador,11.1,17.1,19.4,17.6,12,5.3,SLV,442.0164,,170000,2000,36.1969112,36.1969112,-0.423664808,-0.235498786,-0.016997365,-0.585063934,23.95,24.48,25.7,26.35,25.9,24.87,25.16,24.94,24.3,24.23,23.79,23.59,24.77,0.1523709
66,Eritrea,,21.9,23.1,27.1,16.6,8.2,ERI,853.3859,,,,6.831683168,6.831683168,-1.301119447,-1.59330833,-0.876751304,-1.487505198,22.25,23.1,24.83,26.87,28.46,29.18,28.28,27.64,27.49,26.7,24.93,23.09,26.07,-2.106695175
67,Estonia,5,15.1,10.8,8.6,6.2,3.1,EST,61.9125,,,,15.79853739,15.79853739,1.293634295,1.06819737,0.620919824,1.331923485,-6.51,-6.33,-2.35,3.93,10.35,14.72,16.52,15.63,11,6.26,0.85,-3.69,5.03,1.186782837
68,Ethiopia,33.9,25.5,21,24.5,18.6,7.9,ETH,1330.062,450000,56000,104000,15.119,15.119,-0.450164944,-0.646661103,-1.498187423,-0.509025514,21.17,22.3,23.48,23.8,23.63,23.26,22.28,22.04,22.44,22.07,21.22,20.75,22.37,-1.298288226
69,Fiji,8.7,21.6,21.1,18.8,8.1,7.2,FJI,,,,,9.031198686,9.031198686,0.169921458,-0.291203529,0.580308676,-0.404100507,24.86,25.19,25,24.41,22.99,22.34,21.38,21.62,21.97,22.81,23.58,24.31,23.37,0.027769133
70,Gabon,12.5,15.8,17.2,21.1,12.1,5.1,GAB,377.5402,,,,1.261303217,1.261303217,-0.714149475,-0.73356396,0.021186959,-0.549935818,25.72,25.94,26.14,26.09,25.73,24.09,22.98,23.35,24.57,25.22,25.13,25.04,25,-0.894109726
71,Georgia,8.5,24.2,17.1,19.4,11.3,7.3,GEO,1432.375,239000,,1200,6.446970787,6.446970787,0.679609179,0.404683113,-0.466081887,0.271524847,-5.43,-3.98,0.72,7.62,12.26,15.67,18.8,18.45,14.63,8.74,3.26,-2.37,7.36,0.274561763
72,Ghana,15.5,13.6,21,18.1,12.6,6.6,GHA,190.3197,,,9300,20.65570889,20.65570889,-0.197833717,-0.251235664,-0.032099333,0.142052844,26.95,29.09,29.52,29.16,28.15,26.61,25.67,25.44,25.87,26.82,27.3,26.44,27.25,0.495470196
73,Guatemala,21.1,20.9,20.7,20.6,12.8,5.4,GTM,759.6279,251000,,2900,8.714072415,8.714072415,-0.733183742,-0.711001813,-0.655060232,-0.947281539,20.7,21.45,22.94,24.35,24.89,24.54,23.99,24.11,23.82,23.11,21.88,21.08,23.07,-0.346392214
