"East Asia & Pacific	EAS	Arable land (% of land area)	AG.LND.ARBL.ZS	10.07349426"
"Europe & Central Asia (excluding high income)	ECA	Arable land (% of land area)	AG.LND.ARBL.ZS	10.68346838"
"Europe & Central Asia	ECS	Arable land (% of land area)	AG.LND.ARBL.ZS	12.31587224"
"Ecuador	ECU	Arable land (% of land area)	AG.LND.ARBL.ZS	4.297793526"
"Egypt, Arab Rep.	EGY	Arable land (% of land area)	AG.LND.ARBL.ZS	2.909096389"
"Euro area	EMU	Arable land (% of land area)	AG.LND.ARBL.ZS	24.23768108"
"Eritrea	ERI	Arable land (% of land area)	AG.LND.ARBL.ZS	6.831683168"
"Spain	ESP	Arable land (% of land area)	AG.LND.ARBL.ZS	24.66445703"
"Estonia	EST	Arable land (% of land area)	AG.LND.ARBL.ZS	15.79853739"
"Ethiopia	ETH	Arable land (% of land area)	AG.LND.ARBL.ZS	15.119"
"European Union	EUU	Arable land (% of land area)	AG.LND.ARBL.ZS	25.34288418"
"Fragile and conflict affected situations	FCS	Arable land (% of land area)	AG.LND.ARBL.ZS	6.158153139"
"Finland	FIN	Arable land (% of land area)	AG.LND.ARBL.ZS	7.378171169"
"Fiji	FJI	Arable land (% of land area)	AG.LND.ARBL.ZS	9.031198686"
"France	FRA	Arable land (% of land area)	AG.LND.ARBL.ZS	33.74753679"
"Faroe Islands	FRO	Arable land (% of land area)	AG.LND.ARBL.ZS	2.148997135"
"Micronesia, Fed. Sts.	FSM	Arable land (% of land area)	AG.LND.ARBL.ZS	2.857142857"
"Gabon	GAB	Arable land (% of land area)	AG.LND.ARBL.ZS	1.261303217"
"United Kingdom	GBR	Arable land (% of land area)	AG.LND.ARBL.ZS	24.84602984"
"Georgia	GEO	Arable land (% of land area)	AG.LND.ARBL.ZS	6.446970787"
"Ghana	GHA	Arable land (% of land area)	AG.LND.ARBL.ZS	20.65570889"
"Gibraltar	GIB	Arable land (% of land area)	AG.LND.ARBL.ZS	"
"Guinea	GIN	Arable land (% of land area)	AG.LND.ARBL.ZS	12.61598567"
"Gambia, The	GMB	Arable land (% of land area)	AG.LND.ARBL.ZS	43.47826087"
"Guinea-Bissau	GNB	Arable land (% of land area)	AG.LND.ARBL.ZS	10.6685633"
"Equatorial Guinea	GNQ	Arable land (% of land area)	AG.LND.ARBL.ZS	4.278074866"
"Greece	GRC	Arable land (% of land area)	AG.LND.ARBL.ZS	17.25368503"
"Grenada	GRD	Arable land (% of land area)	AG.LND.ARBL.ZS	8.823529412"
"Greenland	GRL	Arable land (% of land area)	AG.LND.ARBL.ZS	0.002192715"
"Guatemala	GTM	Arable land (% of land area)	AG.LND.ARBL.ZS	8.714072415"
