"","X.1","Country","code","C","E","P","S","X","GDP","elev","Conflict.Stock.Displacement","Conflict.New.Displacements","Disaster.New.Displacements","percent_arable_land","prevalence_undernourishment","government_effectiveness","political_stability","rule_of_law","voice_and_accountability","fsi","control_corruption"
"125",125,"South Africa","ZAF",16.4,18.6,16,12.9,3.1,1.8e+12,1034.837,792917.647058823,321074.642857143,14,0.30426432,10.30426432,261675388,-0.212992936,88763915,654223859,67,"-0.061535094"
"126",126,"Spain","ESP",15.2,11.4,7.9,4.2,2.2,2e+13,704.6398,792917.647058823,321074.642857143,4100,0.66445703,24.66445703,174265742,0.251491189,901602685,44758558,40.9,"0.629841745"
"127",127,"Sri Lanka","LKA",26.3,21.3,22.4,14.2,6.4,611989527,228.2774,44000,321074.642857143,66000,0.73034604,20.73034604,0.00914478,0.090368114,37326247,0.296132624,90.6,"-0.343856692"
"128",128,"Sudan","SDN",29,25.3,28,18.7,9.8,156119150,568.4538,3182000,144000,8300,343080808,8.343080808,0.46239388,-2.162183285,0.208177567,0.773252249,110.8,"-1.445422649"
"129",129,"Suriname","SUR",17,20.7,16.2,8.3,6.2,26587058,246.0742,792917.647058823,321074.642857143,171096.669642857,416666667,0.416666667,0.345765233,0.256688297,0.195376858,411360741,68.4,"-0.443283439"
"130",130,"Swaziland","SWZ",16.5,24.3,24.5,13.4,7.6,20275298,305.4435,792917.647058823,321074.642857143,171096.669642857,0.1744186,10.1744186,0.53864646,-0.476151049,0.324313819,0.401209831,86.3,"-0.428299814"
"131",131,"Sweden","SWE",5.2,5.6,3.6,4.8,1,9.8e+12,320.0909,792917.647058823,321074.642857143,100,336696865,6.336696865,816197515,0.947106421,37810326,565205693,20.2,"2.153375149"
"132",132,"Switzerland","CHE",6,6.8,4.2,4,1.3,7.9e+12,1369.6,792917.647058823,321074.642857143,360,0.07946148,10.07946148,998365879,1.339359045,945191026,558397055,22.3,"2.151518822"
"133",133,"Tajikistan","TJK",22.5,19.3,22.6,12.6,6.4,53450374,3185.92,792917.647058823,321074.642857143,11000,259896531,5.259896531,0.848223448,-0.882642269,0.055544376,0.569000721,83.4,"-1.127138019"
"134",134,"Tanzania","TZA",16.9,20.7,20.7,15.2,7.3,628320606,1018.109,792917.647058823,321074.642857143,3500,0.2404606,15.2404606,0.61055547,-0.41619435,0.371619225,0.229618371,80.8,"-0.754457295"
"135",135,"Thailand","THA",27.4,13.9,20.6,12.9,4.3,9.9e+12,287.408,35000,321074.642857143,240,0.90336472,32.90336472,350277573,-0.99442929,0.147704467,0.969056308,79.1,"-0.450273722"
"136",136,"Togo","TGO",19.1,22.2,23.9,15.1,6.5,87628276,236.986,3000,321074.642857143,5000,0.72219158,48.72219158,0.189448237,-0.231348053,0.798984945,0.698528349,86.8,"-0.893284917"
"137",137,"Trinidad and Tobago","TTO",15.4,17.3,14.4,8,3.6,559224762,83.275,792917.647058823,321074.642857143,171096.669642857,873294347,4.873294347,232600957,0.286114305,0.115995876,480495065,58.7,"-0.413552701"
"138",138,"Tunisia","TUN",23.7,17.5,18.9,8.8,6.9,156708809,246.5449,792917.647058823,321074.642857143,120,0.66632338,18.66632338,0.103312753,-0.96038723,0.061554465,242010027,75.8,"-0.036884744"
"139",139,"Turkey","TUR",24,14.9,17.6,13,5,6e+12,1167.001,954000,321074.642857143,1500,0.82457804,26.82457804,22311984,-1.493914008,0.113019049,0.36770758,74.5,"-0.147938445"
"140",140,"Turkmenistan","TKM",21.7,17,24.6,9.6,4.6,799628571,229.8245,792917.647058823,321074.642857143,171096.669642857,128274424,4.128274424,0.850448787,-0.087798864,0.417839885,0.23740983,77.5,"-1.314361334"
"141",141,"Uganda","UGA",25.2,21.6,24.2,17.7,8.3,59447775,1200.948,30000,321074.642857143,600,0.41053262,34.41053262,0.485693216,-0.804501653,0.385777652,0.57071203,97,"-1.085041404"
"142",142,"Ukraine","UKR",22.9,16.7,18.7,8.9,9.1,30959455,176.7859,1679000,942000,171096.669642857,0.17484282,56.17484282,0.523523629,-1.961800098,0.81355083,0.086803623,76.3,"-0.994197667"
"143",143,"United Arab Emirates","ARE",10.6,9.6,16.4,6.7,2.9,5.8e+12,148.9142,792917.647058823,321074.642857143,171096.669642857,448564593,0.448564593,50987184,0.759545386,640877128,0.112367868,46.2,"1.203577995"
"144",144,"United Kingdom","GBR",11.6,9.7,5.9,5,1.2,8.9e+13,162.5733,792917.647058823,321074.642857143,6100,0.84602984,24.84602984,744032383,0.517747939,813076496,297748923,33.4,"1.738477588"
"145",145,"United States","USA",11.8,9.1,8.2,5.1,1.1,8.1e+14,725.6519,792917.647058823,321074.642857143,63000,0.64540384,16.64540384,463781953,0.678062379,59612298,109744549,35.3,"1.376067758"
"146",146,"Uruguay","URY",9.4,11.8,7,5.4,2.9,274304215,109.6395,792917.647058823,321074.642857143,24000,0.77328305,13.77328305,529026389,1.004238248,712427437,143324971,36.5,"1.378792644"
"147",147,"Uzbekistan","UZB",24,20.1,24.1,12.1,5.1,903804143,420.015,792917.647058823,321074.642857143,171096.669642857,0.34320639,10.34320639,0.671784401,-0.373036414,0.111207604,0.956031203,85.4,"-1.185223818"
"148",148,"Vietnam","VNM",18.5,16.9,21.1,10.8,5.1,9.3e+12,398.3443,792917.647058823,321074.642857143,9600,0.5690973,22.5690973,67519069,0.069970489,0.339344263,0.358792901,72.4,"-0.436201066"
"149",149,"Yemen, Rep.","YEM",28.8,24.9,26.6,18.3,9.5,733919936,999.8261,2509000,2175000,83000,363770669,2.363770669,0.627152562,-2.680221558,0.271081805,0.523371577,108.1,"-1.555117607"
"150",150,"Zambia","ZMB",16.4,24.1,21.8,16.3,6.6,154394546,1138.441,792917.647058823,321074.642857143,25,111717941,5.111717941,0.560079753,0.151694864,0.22972478,0.070258692,85.2,"-0.342242748"
"151",151,"Zimbabwe","ZWE",25.4,24.1,25.8,17.1,7.6,304667807,961.7211,792917.647058823,321074.642857143,800,0.33992504,10.33992504,0.155711412,-0.618156314,0.316628456,0.167998791,100,"-1.391290665"
