"","X.1","Country","code","C","E","P","S","X","GDP","elev","Conflict.Stock.Displacement","Conflict.New.Displacements","Disaster.New.Displacements","percent_arable_land","prevalence_undernourishment","government_effectiveness","political_stability","rule_of_law","voice_and_accountability","fsi","control_corruption"
"29",29,"Chile","CHL",8.9,11.9,10.9,7.2,2.6,4.3e+12,1871.129,792917.647058823,321074.642857143,1047000,765895752,1.765895752,86323857,0.433439225,344096303,4418135,41.5,"1.488503098"
"30",30,"China","CHN",21.4,15.4,23.4,13,3.2,1.1e+14,1839.95,792917.647058823,321074.642857143,3602000,0.6754714,12.6754714,408017337,-0.550294638,0.409794658,0.660686493,76.4,"-0.340069056"
"31",31,"Colombia","COL",22.9,18,20.4,14.7,6.5,9.2e+12,593.12,6270000,224000,4600,521946823,1.521946823,0.036017831,-1.069146633,0.268413424,3917276,82.5,"-0.368626416"
"32",32,"Congo, Rep.","COG",20,21.4,25.7,16.1,7.6,53154580,430.1534,7800,321074.642857143,171096.669642857,610541728,1.610541728,0.022181392,-0.526365995,0.078538775,0.016824961,90.8,"-1.178786755"
"33",33,"Costa Rica","CRI",11.6,13.3,9.5,8,4.3,840103850,746.2103,792917.647058823,321074.642857143,1100,543674109,4.543674109,37576279,0.682025492,504753351,151499629,46.7,"0.755439758"
"34",34,"Cote d'Ivoire","CIV",26.1,21.7,25.4,17.1,9.7,145096414,250.7441,303000,3200,171096.669642857,119496855,9.119496855,0.681760728,-0.832545936,0.62941426,0.405193686,100,"-0.419152915"
"35",35,"Croatia","HRV",14.1,13.6,10.4,8.5,4.4,921877448,331.5601,792917.647058823,321074.642857143,1000,0.08398856,15.08398856,51401335,0.590728045,200360253,55546391,51,"0.219041422"
"36",36,"Cuba","CUB",17.2,16.1,19,10.1,5,132800000,108.2346,792917.647058823,321074.642857143,2000,0.97231302,28.97231302,2187958,0.644101679,0.701458991,0.558034897,67.4,"0.068400934"
"37",37,"Cyprus","CYP",19.3,17.6,11.6,8.5,9.2,676167240,9.1667,272000,321074.642857143,171096.669642857,0.7034632,10.7034632,48837423,0.550866485,39922118,31512141,66.2,"1.075781465"
"38",38,"Czech Republic","CZE",10.7,10.8,9.4,3.9,2.6,8.7e+12,433.0312,792917.647058823,321074.642857143,171096.669642857,0.61124061,40.61124061,46726942,0.979189098,148100734,42688489,37.4,"0.36779505"
"39",39,"Denmark","DNK",6.5,6.5,3.2,3.9,1.4,1e+11,34.2589,792917.647058823,321074.642857143,171096.669642857,0.98952131,55.98952131,848226786,0.897649825,42388916,552722931,21.5,"2.247260332"
"40",40,"Djibouti","DJI",20.8,21,22.6,15.3,8.4,2.7e+07,430.256,792917.647058823,321074.642857143,171096.669642857,86281277,0.086281277,0.954309046,-0.443531573,0.922180951,0.412069201,88.1,"-0.599377871"
"41",41,"Dominican Republic","DOM",17.2,19.2,18.3,10.6,5.9,102618092,424.8582,792917.647058823,321074.642857143,28000,0.55971848,16.55971848,0.357235849,0.236706421,0.512686312,154249504,71.2,"-0.816102564"
"42",42,"Ecuador","ECU",22.7,18.3,18.4,10.9,5.6,290381000,1117.178,792917.647058823,321074.642857143,1900,297793526,4.297793526,0.442261696,-0.143955871,0.028905153,0.211751625,75.9,"-0.754930556"
"43",43,"Egypt, Arab Rep.","EGY",25.9,19.3,23.9,13.8,7.1,3.3e+12,321.5979,78000,78000,100,909096389,2.909096389,0.75222075,-1.496645689,0.594087958,0.184813142,90,"-0.624814928"
"44",44,"El Salvador","SLV",17.1,19.4,17.6,12,5.3,52340000,442.0164,792917.647058823,170000,2000,0.1969112,36.1969112,0.235498786,-0.016997365,0.585063934,1523709,71.4,"-0.376873732"
"45",45,"Equatorial Guinea","GNQ",21.5,20.2,26.6,11,5.5,597210658,577.8627,792917.647058823,321074.642857143,171096.669642857,278074866,4.278074866,0.417881489,-0.205352426,0.456297636,0.00014019,84.8,"-1.772761345"
"46",46,"Estonia","EST",15.1,10.8,8.6,6.2,3.1,566956982,61.9125,792917.647058823,321074.642857143,171096.669642857,0.79853739,15.79853739,6819737,0.620919824,331923485,186782837,43.8,"1.303455591"
"47",47,"Ethiopia","ETH",25.5,21,24.5,18.6,7.9,464547915,1330.062,450000,56000,104000,0.119,15.119,0.646661103,-1.498187423,0.509025514,0.298288226,97.5,"-0.444255531"
"48",48,"Finland","FIN",4.1,7.1,2.6,3,1,3.2e+12,164.483,792917.647058823,321074.642857143,171096.669642857,378171169,7.378171169,813305736,1.040587306,63123703,543483734,17.8,"2.165774584"
"49",49,"France","FRA",11,10.7,5.6,5,1.4,4.3e+13,375.12,792917.647058823,321074.642857143,120,0.74753679,33.74753679,437052965,0.106706373,41331923,206558228,33.7,"1.314697027"
"50",50,"Gabon","GAB",15.8,17.2,21.1,12.1,5.1,262032471,377.5402,792917.647058823,321074.642857143,171096.669642857,261303217,1.261303217,0.73356396,0.021186959,0.549935818,0.894109726,71.3,"-0.691624343"
"51",51,"Gambia, The","GMB",16.5,22.7,24.1,14.6,7.5,7652509.6,34.4685,792917.647058823,321074.642857143,171096.669642857,0.47826087,43.47826087,0.903461635,0.019588569,0.721325636,0.45999217,85.4,"-0.693829834"
"52",52,"Georgia","GEO",24.2,17.1,19.4,11.3,7.3,993546732,1432.375,239000,321074.642857143,1200,446970787,6.446970787,404683113,-0.466081887,271524847,274561763,79.3,"0.785900772"
"53",53,"Germany","DEU",8.7,8.3,4.3,5.5,1.3,3.8e+13,270.8496,792917.647058823,321074.642857143,171096.669642857,0.96501165,33.96501165,73711729,0.699824274,795013547,421901703,28.1,"1.838379741"
"54",54,"Ghana","GHA",13.6,21,18.1,12.6,6.6,543361204,190.3197,792917.647058823,321074.642857143,9300,0.65570889,20.65570889,0.251235664,-0.032099333,142052844,495470196,71.9,"-0.192189008"
"55",55,"Greece","GRC",13.2,14.5,13.8,5.2,5.9,9.6e+12,498.576,792917.647058823,321074.642857143,270,0.25368503,17.25368503,256199121,-0.230252355,267151922,651494741,52.6,"-0.122388072"
"56",56,"Guatemala","GTM",20.9,20.7,20.6,12.8,5.4,767597194,759.6279,251000,321074.642857143,2900,714072415,8.714072415,0.711001813,-0.655060232,0.947281539,0.346392214,80.4,"-0.735963881"
"57",57,"Guinea","GIN",27.2,24,27.9,17.7,8.1,67143623,472.8062,792917.647058823,321074.642857143,34000,0.61598567,12.61598567,0.142423511,-0.386988342,0.158495784,0.857955515,104.9,"-1.057489276"
"58",58,"Guinea-Bissau","GNB",23.4,21.2,28.6,11.8,8.8,36130507,70.4717,792917.647058823,321074.642857143,171096.669642857,0.6685633,10.6685633,0.613140225,-0.518216372,0.283544779,0.74958986,93.8,"-1.538464069"
"59",59,"Guyana","GUY",17.4,21.5,15.9,9.2,6.5,97225182,207.0553,792917.647058823,321074.642857143,171096.669642857,133604267,2.133604267,0.335406274,-0.139650807,0.527465999,184057221,70.5,"-0.741510391"
"60",60,"Haiti","HTI",23.3,27.7,25.9,17.7,9.9,24656126,470.0736,792917.647058823,321074.642857143,1500,0.82438316,38.82438316,0.016381025,-0.670838177,0.180639505,0.798660874,104.5,"-1.233899713"
"61",61,"Honduras","HND",19.7,20.9,19.7,10.5,7.4,844284855,684.9241,174000,321074.642857143,2000,116096166,9.116096166,0.821539164,-0.468914419,0.925625324,0.421736807,78.2,"-0.785444319"
