country_name,country_code,percent_arable_land
Turkey,TUR,26.82457804
Turkmenistan,TKM,4.128274424
Turks and Caicos Islands,TCA,1.052631579
Tuvalu,TUV,..
Uganda,UGA,34.41053262
Ukraine,UKR,56.17484282
United Arab Emirates,ARE,0.448564593
United Kingdom,GBR,24.84602984
United States,USA,16.64540384
Uruguay,URY,13.77328305
Uzbekistan,UZB,10.34320639
Vanuatu,VUT,1.640689089
"Venezuela, RB",VEN,3.061050961
Vietnam,VNM,22.5690973
Virgin Islands (U.S.),VIR,2.857142857
West Bank and Gaza,PSE,10.63122924
"Yemen, Rep.",YEM,2.363770669
Zambia,ZMB,5.111717941
Zimbabwe,ZWE,10.33992504
